First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills,Average cgpa=,8.038475685
ANIKET,aniket@xyz.com,1,Art of Resume Building,Attending,D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,Email,,Students,2024,Patna,6.7,7,7 Lakh+,6,yes,,
Dhanshree,dhanshree@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Others,College,Students,2024,Amravati,8.2,3,0-2 Lakh,7,no,,
Dhiraj,dhiraj@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Email,,Students,2023,Kunrool,6.5,4,5-7 Lakh,7,no,,
Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Email,,Students,2025,Tirupati,8.7,7,2-5 Lakh,8,no,,
Aayush,aayush@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Instagram | LinkedIn | Cloud Counselage Website,,Students,2024,Vijaywada,9.1,3,0-2 Lakh,10,yes,,
Mrunali,mrunali@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,,Students,2026,Eluru,8.9,4,0-2 Lakh,6,no,,
Durga,durga@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,,Students,2024,Guwahati,7.4,7,2-5 Lakh,6,no,,
Ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2023,Nagaon,7.3,4,0-2 Lakh,7,no,,
Mayuresh,mayuresh@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Others,College,Students,2024,Tezpur,8.6,4,0-2 Lakh,7,no,,
ROHIT,rohit@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,,Students,2024,Sivasagar,9.2,3,0-2 Lakh,8,no,,
Nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Email,,Students,2024,Burani,7.8,3,0-2 Lakh,10,yes,,
Yogesh,yogesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,,Students,2023,Dehri,7.9,5,0-2 Lakh,6,yes,,
Pranali,pranali@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2023,Chapra,9.9,4,0-2 Lakh,8,no ,,
Gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,LinkedIn,,Students,2024,Darbhanga,8.1,5,0-2 Lakh,11,no ,,
